#RPLIDAR SCAN DATA
#COUNT=132948
#Angule	Distance	Quality
347.9531 810.0 47
348.5469 813.0 47
349.1406 810.0 47
349.7500 806.0 47
350.3438 802.0 47
350.9531 804.0 47
351.5625 800.0 47
352.1563 804.0 47
352.6250 801.0 47
353.3594 797.0 47
353.9531 797.0 47
354.4219 797.0 47
355.1563 797.0 47
355.7500 796.0 47
356.3594 800.0 47
356.9531 798.0 47
357.5625 798.0 47
358.1563 797.0 47
358.7656 793.0 47
359.3594 797.0 47
359.9688 799.0 47
0.5625 796.0 47
1.2969 794.0 47
1.7656 797.0 47
2.3750 799.0 47
2.9688 798.0 47
3.5625 797.0 47
4.1719 805.0 47
4.7656 801.0 47
5.5000 804.0 47
5.9688 805.0 47
6.5781 803.0 47
7.1719 805.0 47
7.7813 806.0 47
8.2500 814.0 47
8.8594 810.0 47
9.5781 814.0 47
10.1875 818.0 47
10.6563 817.0 47
11.2656 819.0 47
11.9844 827.0 47
12.4688 830.0 47
13.7813 825.0 47
15.1094 762.0 47
15.7188 732.0 47
16.4375 704.0 47
17.1719 678.0 47
17.7656 653.0 47
18.3594 631.0 47
19.2188 607.0 47
19.9375 590.0 47
20.5469 573.0 47
21.0156 556.0 47
21.8750 539.0 47
22.7188 523.0 47
23.3281 509.0 47
23.9219 496.0 47
24.5156 484.0 47
25.1250 473.0 47
26.0938 461.0 47
26.4531 451.0 47
27.1719 441.0 47
27.9063 430.0 47
28.8750 422.0 47
29.4688 414.0 47
30.2031 405.0 47
30.7969 397.0 47
31.5313 389.0 47
31.8750 382.0 47
32.4844 377.0 47
33.4531 369.0 47
34.1875 362.0 47
34.5313 356.0 47
35.2656 351.0 47
36.5000 345.0 47
36.4688 341.0 47
37.4531 335.0 47
38.3125 330.0 47
38.5313 325.0 47
39.5156 321.0 47
39.8750 316.0 47
40.4688 312.0 47
41.3281 309.0 47
42.1875 305.0 47
42.6563 301.0 47
43.2656 298.0 47
43.8750 294.0 47
45.3594 291.0 47
45.7031 288.0 47
46.5625 284.0 47
47.4219 281.0 47
47.8906 279.0 47
48.7500 276.0 47
48.4844 274.0 47
49.3281 271.0 47
49.6875 269.0 47
50.7969 266.0 47
51.0156 264.0 47
51.6250 262.0 47
53.7344 259.0 47
53.5781 257.0 47
54.6875 255.0 47
55.1719 253.0 47
54.9063 251.0 47
56.8750 249.0 47
57.3594 248.0 47
56.8281 246.0 47
58.3125 244.0 47
59.0313 243.0 47
60.1406 241.0 47
