#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
215.0781 674.0 47
215.5625 678.0 47
216.2969 682.0 47
216.7813 685.0 47
217.3906 688.0 47
218.0000 693.0 47
218.6094 697.0 47
219.2188 700.0 47
219.8281 704.0 47
220.4375 709.0 47
221.0469 714.0 47
221.6563 716.0 47
222.1406 722.0 47
222.7500 726.0 47
223.3594 732.0 47
224.0938 738.0 47
224.7031 744.0 47
225.3125 747.0 47
225.6719 756.0 47
226.4063 760.0 47
226.8906 766.0 47
227.6250 771.0 47
228.1094 778.0 47
228.7188 785.0 47
229.3125 791.0 47
229.9219 797.0 47
230.5313 804.0 47
231.1406 811.0 47
231.7500 821.0 47
232.2344 828.0 47
232.9688 834.0 47
233.4531 844.0 47
234.0625 851.0 47
234.5469 860.0 47
235.2813 871.0 47
235.8906 882.0 47
236.3750 889.0 47
237.1094 896.0 47
237.5938 908.0 47
238.2031 919.0 47
238.8125 929.0 47
239.2969 939.0 47
240.0313 953.0 47
240.5156 967.0 47
241.2500 977.0 47
241.7344 991.0 47
242.3438 1005.0 47
242.9531 1015.0 47
243.5625 1035.0 47
244.1719 1046.0 47
244.7813 1063.0 47
245.2656 1078.0 47
245.8750 1093.0 47
246.3594 1111.0 47
247.0938 1128.0 47
247.5781 1148.0 47
248.2969 1170.0 47
248.7813 1189.0 47
249.3906 1210.0 47
250.0000 1232.0 47
250.6094 1254.0 47
251.2188 1277.0 47
251.7188 1303.0 47
252.3125 1326.0 47
253.0469 1316.0 47
253.6563 1309.0 47
254.1406 1409.0 47
254.6250 1440.0 47
255.2344 1471.0 47
255.8438 1504.0 47
256.4531 1542.0 47
257.0625 1572.0 47
257.6719 1617.0 47
258.1563 1654.0 47
258.7656 1698.0 47
259.3750 1752.0 47
259.9844 1798.0 47
260.4688 1852.0 47
261.2031 1902.0 47
261.6875 1956.0 47
262.2969 2020.0 47
262.9063 2087.0 47
263.5156 2181.0 47
264.1250 2236.0 47
264.7344 2337.0 47
265.2188 2416.0 47
265.8281 2519.0 47
266.4375 2422.0 47
267.0313 2742.0 47
267.6406 2466.0 47
268.2344 2446.0 47
268.8438 2405.0 47
269.4375 2404.0 47
270.0469 2388.0 47
270.6563 2399.0 47
271.2500 2374.0 47
271.8594 2567.0 47
273.8125 1175.0 47
274.2969 1175.0 47
274.8906 1180.0 47
276.0781 2418.0 47
276.6875 2380.0 47
277.2813 2399.0 47
277.8906 2556.0 47
279.9219 6564.0 47
280.6563 5758.0 47
283.4844 757.0 47
283.2188 1365.0 47
282.9375 7870.0 47
284.8906 1438.0 47
286.4844 1142.0 47
287.0781 1158.0 47
287.6875 1133.0 47
288.1719 1138.0 47
288.9063 1139.0 47
289.5156 1141.0 47
290.1250 1146.0 47
291.3438 1163.0 47
292.4375 1226.0 47
293.0469 1188.0 47
293.7813 1156.0 47
294.3906 1122.0 47
295.0000 1123.0 47
295.6094 1128.0 47
296.2188 1127.0 47
296.8281 1102.0 47
297.4375 1096.0 47
298.0469 1117.0 47
298.6563 1153.0 47
299.1406 1172.0 47
299.7500 1179.0 47
300.3594 1182.0 47
300.9688 1189.0 47
301.5781 1199.0 47
302.1875 1204.0 47
302.7969 1213.0 47
306.1719 5450.0 47
306.7813 5431.0 47
307.3906 5447.0 47
308.6094 5524.0 47
